,k<>ant-1.7--camel,m<>ant-1.7--camel,r<>ant-1.7--camel,k<>ant-1.7--jedit,m<>ant-1.7--jedit,r<>ant-1.7--jedit,k<>ant-1.7--synapse,m<>ant-1.7--synapse,r<>ant-1.7--synapse,k<>ant-1.7--ivy,m<>ant-1.7--ivy,r<>ant-1.7--ivy,k<>ant-1.7--xalan,m<>ant-1.7--xalan,r<>ant-1.7--xalan,k<>ant-1.7--xerces,m<>ant-1.7--xerces,r<>ant-1.7--xerces,k<>ant-1.6--camel,m<>ant-1.6--camel,r<>ant-1.6--camel,k<>ant-1.6--jedit,m<>ant-1.6--jedit,r<>ant-1.6--jedit,k<>ant-1.6--synapse,m<>ant-1.6--synapse,r<>ant-1.6--synapse,k<>ant-1.6--ivy,m<>ant-1.6--ivy,r<>ant-1.6--ivy,k<>ant-1.6--xalan,m<>ant-1.6--xalan,r<>ant-1.6--xalan,k<>ant-1.6--xerces,m<>ant-1.6--xerces,r<>ant-1.6--xerces,k<>ant-1.5--camel,m<>ant-1.5--camel,r<>ant-1.5--camel,k<>ant-1.5--jedit,m<>ant-1.5--jedit,r<>ant-1.5--jedit,k<>ant-1.5--synapse,m<>ant-1.5--synapse,r<>ant-1.5--synapse,k<>ant-1.5--ivy,m<>ant-1.5--ivy,r<>ant-1.5--ivy,k<>ant-1.5--xalan,m<>ant-1.5--xalan,r<>ant-1.5--xalan,k<>ant-1.5--xerces,m<>ant-1.5--xerces,r<>ant-1.5--xerces,k<>camel-1.6--ant,m<>camel-1.6--ant,r<>camel-1.6--ant,k<>camel-1.6--jedit,m<>camel-1.6--jedit,r<>camel-1.6--jedit,k<>camel-1.6--synapse,m<>camel-1.6--synapse,r<>camel-1.6--synapse,k<>camel-1.6--ivy,m<>camel-1.6--ivy,r<>camel-1.6--ivy,k<>camel-1.6--xalan,m<>camel-1.6--xalan,r<>camel-1.6--xalan,k<>camel-1.6--xerces,m<>camel-1.6--xerces,r<>camel-1.6--xerces,k<>camel-1.4--ant,m<>camel-1.4--ant,r<>camel-1.4--ant,k<>camel-1.4--jedit,m<>camel-1.4--jedit,r<>camel-1.4--jedit,k<>camel-1.4--synapse,m<>camel-1.4--synapse,r<>camel-1.4--synapse,k<>camel-1.4--ivy,m<>camel-1.4--ivy,r<>camel-1.4--ivy,k<>camel-1.4--xalan,m<>camel-1.4--xalan,r<>camel-1.4--xalan,k<>camel-1.4--xerces,m<>camel-1.4--xerces,r<>camel-1.4--xerces,k<>camel-1.2--ant,m<>camel-1.2--ant,r<>camel-1.2--ant,k<>camel-1.2--jedit,m<>camel-1.2--jedit,r<>camel-1.2--jedit,k<>camel-1.2--synapse,m<>camel-1.2--synapse,r<>camel-1.2--synapse,k<>camel-1.2--ivy,m<>camel-1.2--ivy,r<>camel-1.2--ivy,k<>camel-1.2--xalan,m<>camel-1.2--xalan,r<>camel-1.2--xalan,k<>camel-1.2--xerces,m<>camel-1.2--xerces,r<>camel-1.2--xerces,k<>ivy-2.0--ant,m<>ivy-2.0--ant,r<>ivy-2.0--ant,k<>ivy-2.0--camel,m<>ivy-2.0--camel,r<>ivy-2.0--camel,k<>ivy-2.0--jedit,m<>ivy-2.0--jedit,r<>ivy-2.0--jedit,k<>ivy-2.0--synapse,m<>ivy-2.0--synapse,r<>ivy-2.0--synapse,k<>ivy-2.0--xalan,m<>ivy-2.0--xalan,r<>ivy-2.0--xalan,k<>ivy-2.0--xerces,m<>ivy-2.0--xerces,r<>ivy-2.0--xerces,k<>jedit-4.2--ant,m<>jedit-4.2--ant,r<>jedit-4.2--ant,k<>jedit-4.2--camel,m<>jedit-4.2--camel,r<>jedit-4.2--camel,k<>jedit-4.2--synapse,m<>jedit-4.2--synapse,r<>jedit-4.2--synapse,k<>jedit-4.2--ivy,m<>jedit-4.2--ivy,r<>jedit-4.2--ivy,k<>jedit-4.2--xalan,m<>jedit-4.2--xalan,r<>jedit-4.2--xalan,k<>jedit-4.2--xerces,m<>jedit-4.2--xerces,r<>jedit-4.2--xerces,k<>jedit-4.1--ant,m<>jedit-4.1--ant,r<>jedit-4.1--ant,k<>jedit-4.1--camel,m<>jedit-4.1--camel,r<>jedit-4.1--camel,k<>jedit-4.1--synapse,m<>jedit-4.1--synapse,r<>jedit-4.1--synapse,k<>jedit-4.1--ivy,m<>jedit-4.1--ivy,r<>jedit-4.1--ivy,k<>jedit-4.1--xalan,m<>jedit-4.1--xalan,r<>jedit-4.1--xalan,k<>jedit-4.1--xerces,m<>jedit-4.1--xerces,r<>jedit-4.1--xerces,k<>jedit-4.0--ant,m<>jedit-4.0--ant,r<>jedit-4.0--ant,k<>jedit-4.0--camel,m<>jedit-4.0--camel,r<>jedit-4.0--camel,k<>jedit-4.0--synapse,m<>jedit-4.0--synapse,r<>jedit-4.0--synapse,k<>jedit-4.0--ivy,m<>jedit-4.0--ivy,r<>jedit-4.0--ivy,k<>jedit-4.0--xalan,m<>jedit-4.0--xalan,r<>jedit-4.0--xalan,k<>jedit-4.0--xerces,m<>jedit-4.0--xerces,r<>jedit-4.0--xerces,k<>synapse-1.1--ant,m<>synapse-1.1--ant,r<>synapse-1.1--ant,k<>synapse-1.1--camel,m<>synapse-1.1--camel,r<>synapse-1.1--camel,k<>synapse-1.1--jedit,m<>synapse-1.1--jedit,r<>synapse-1.1--jedit,k<>synapse-1.1--ivy,m<>synapse-1.1--ivy,r<>synapse-1.1--ivy,k<>synapse-1.1--xalan,m<>synapse-1.1--xalan,r<>synapse-1.1--xalan,k<>synapse-1.1--xerces,m<>synapse-1.1--xerces,r<>synapse-1.1--xerces,k<>synapse-1.2--ant,m<>synapse-1.2--ant,r<>synapse-1.2--ant,k<>synapse-1.2--camel,m<>synapse-1.2--camel,r<>synapse-1.2--camel,k<>synapse-1.2--jedit,m<>synapse-1.2--jedit,r<>synapse-1.2--jedit,k<>synapse-1.2--ivy,m<>synapse-1.2--ivy,r<>synapse-1.2--ivy,k<>synapse-1.2--xalan,m<>synapse-1.2--xalan,r<>synapse-1.2--xalan,k<>synapse-1.2--xerces,m<>synapse-1.2--xerces,r<>synapse-1.2--xerces,k<>xalan-2.5--ant,m<>xalan-2.5--ant,r<>xalan-2.5--ant,k<>xalan-2.5--camel,m<>xalan-2.5--camel,r<>xalan-2.5--camel,k<>xalan-2.5--jedit,m<>xalan-2.5--jedit,r<>xalan-2.5--jedit,k<>xalan-2.5--synapse,m<>xalan-2.5--synapse,r<>xalan-2.5--synapse,k<>xalan-2.5--ivy,m<>xalan-2.5--ivy,r<>xalan-2.5--ivy,k<>xalan-2.5--xerces,m<>xalan-2.5--xerces,r<>xalan-2.5--xerces,k<>xalan-2.6--ant,m<>xalan-2.6--ant,r<>xalan-2.6--ant,k<>xalan-2.6--camel,m<>xalan-2.6--camel,r<>xalan-2.6--camel,k<>xalan-2.6--jedit,m<>xalan-2.6--jedit,r<>xalan-2.6--jedit,k<>xalan-2.6--synapse,m<>xalan-2.6--synapse,r<>xalan-2.6--synapse,k<>xalan-2.6--ivy,m<>xalan-2.6--ivy,r<>xalan-2.6--ivy,k<>xalan-2.6--xerces,m<>xalan-2.6--xerces,r<>xalan-2.6--xerces,k<>xerces-1.3--ant,m<>xerces-1.3--ant,r<>xerces-1.3--ant,k<>xerces-1.3--camel,m<>xerces-1.3--camel,r<>xerces-1.3--camel,k<>xerces-1.3--jedit,m<>xerces-1.3--jedit,r<>xerces-1.3--jedit,k<>xerces-1.3--synapse,m<>xerces-1.3--synapse,r<>xerces-1.3--synapse,k<>xerces-1.3--ivy,m<>xerces-1.3--ivy,r<>xerces-1.3--ivy,k<>xerces-1.3--xalan,m<>xerces-1.3--xalan,r<>xerces-1.3--xalan
EALR,5,4,2.840424777,20,6,1.905263389,13,6,0.922148567,10,3,3.980019126,17,6,2.72101455,5,5,2.590534968,11,4,4.842283432,18,6,0.209744549,2,6,2.777359941,18,3,0.876762336,4,1,1.675717871,10,2,4.585397039,1,4,4.454145684,5,5,2.10863004,13,2,1.209855652,14,5,0.298015564,5,0,0.710702827,9,4,2.842849486,12,3,4.599774638,17,4,4.887770542,2,5,1.153435924,14,5,1.817624637,17,0,4.865267345,4,3,1.902646992,2,4,2.416518275,1,4,2.249979732,10,6,3.548310531,9,6,2.581880324,9,1,1.402200397,6,1,3.648935008,17,3,4.974416037,13,4,1.516254205,2,5,3.951274477,2,3,2.37616656,1,0,3.927627138,12,2,3.338649597,4,5,1.316148704,13,4,2.800489189,15,5,2.849251725,6,3,1.33287482,4,6,4.3425677,4,2,1.917885522,9,6,2.207774993,13,6,2.622084196,11,6,2.876139455,8,3,0.947695994,20,3,3.559014672,5,1,4.070653794,3,3,4.137273473,19,1,3.912176965,17,4,4.755199345,16,5,2.012964364,18,3,1.789638634,16,2,4.101309692,5,1,3.091102089,16,6,0.42306,15,2,3.706288553,10,4,3.329968524,17,3,2.352112274,16,6,3.65971709,7,6,2.283841268,15,4,4.918870848,17,6,4.48922699,10,5,3.154862203,9,4,4.855953888,16,1,2.282190267,3,2,2.758372924,13,5,2.554197754,6,6,4.780787712,19,5,4.362394384,18,5,0.877906622,2,3,1.969762542,14,6,2.841285929,20,6,1.248296288,5,4,3.486856425,20,3,3.393166502,7,4,4.448096871,5,5,0.509947625,6,3,2.829569726,20,3,2.86795996,18,5,2.652304813,8,5,1.626089115,11,6,4.47360962,20,5,4.793957091,20,4,3.521828541,15,2,1.835466043,15,2,1.687775735,3,6,1.769268981,19,4,4.141911516,11,3,2.871472799
BRR,16,6,3.829931412,17,2,4.277661372,12,3,2.951119434,8,3,2.716666297,16,3,2.571553022,15,5,3.89623851,13,3,0.984279773,6,3,4.80514094,11,3,2.460249551,10,5,0.213540629,4,2,1.891931001,13,0,2.931455315,16,4,4.406772161,12,3,2.384850137,8,5,1.392784373,18,6,2.358700965,12,2,0.172688563,6,5,4.92375043,13,2,4.26187988,19,1,0.787644187,17,6,4.908711701,3,3,3.105723729,18,6,2.711371723,10,4,4.935901498,3,1,3.329524718,15,6,0.891547558,4,0,3.705957591,5,4,1.589338001,1,6,1.124015463,9,6,2.716866704,16,0,3.01573368,15,2,1.907848905,14,3,2.74911301,7,3,1.771128724,19,1,4.549257232,12,1,2.377871268,12,3,4.624378376,16,2,3.470694604,19,6,0.73168399,20,0,0.122521406,17,5,2.789741388,16,4,2.056842726,16,6,3.230820112,13,6,0.908346031,7,2,1.991089153,9,4,1.357473153,6,2,4.407910684,13,2,2.609031003,13,5,1.72424338,20,3,1.365255288,19,3,4.415210459,15,5,1.415974493,13,3,3.85809781,13,4,0.341565385,16,5,1.905890746,13,4,0.871479863,13,3,2.670474697,11,5,1.961745643,12,5,4.878620832,14,4,2.521150746,19,6,1.753154416,7,2,3.580669561,3,2,2.900929775,3,0,2.640505337,9,4,0.372833763,4,5,4.968159476,4,0,3.937133716,16,2,0.399882305,17,2,0.41810577,11,6,3.487675258,3,0,2.795780741,20,6,4.093896848,15,4,3.552475337,17,4,1.533084719,4,3,2.098650462,2,6,2.615489024,9,5,3.72511686,1,6,1.225607454,16,6,4.967458915,10,5,0.571380874,17,2,4.344285694,19,6,4.585041963,6,6,0.179827761,2,5,1.758241179,4,1,1.605787395,16,1,3.928158916,9,3,1.66886617,8,4,2.599956022,10,5,1.480544446,16,5,2.470725284
DTR,4,2,2.338814957,11,5,1.246182163,4,6,3.933672451,12,6,4.025764248,11,2,3.268077849,20,2,1.240687219,17,6,1.560705523,2,6,1.868764723,16,6,2.917932015,5,5,3.474413673,14,4,3.057614705,19,6,4.512205534,20,5,1.773748094,19,5,3.551997867,19,6,2.851718249,19,6,0.35027053,20,4,4.784710607,12,3,1.964860016,7,3,3.586709496,7,6,4.528956944,5,6,0.226516241,20,4,4.414343108,15,4,3.222096415,8,3,3.645859987,10,5,3.450746046,2,1,2.811214408,1,4,3.439024919,19,5,2.867457701,8,6,4.258703411,15,5,2.966566334,13,5,2.71750138,10,4,0.54637549,12,4,0.10298176,17,4,0.155061618,3,5,2.246884308,17,5,0.112739882,16,3,1.258501489,13,3,0.175739802,5,4,4.064536025,16,0,0.918994919,12,4,1.160962978,5,2,2.288262846,9,4,1.340584161,5,5,3.292928336,2,6,2.127829372,12,6,2.741312773,18,0,3.612083186,2,1,1.799892449,3,6,2.133520036,18,3,4.531360396,2,2,1.746185297,20,5,4.512691806,5,2,0.497884351,20,5,2.23352367,15,2,2.668431823,7,5,1.682388491,19,5,4.063607619,12,6,2.917476675,2,5,2.26899628,12,3,2.053250484,4,5,1.05477419,1,4,3.887404175,7,1,0.934626188,15,4,0.499219553,4,2,2.720673873,5,3,4.947808937,20,3,4.592615352,20,6,0.26983596,14,6,0.141886867,18,6,3.774330444,6,3,1.153555473,17,4,0.753059781,9,6,4.976665148,9,3,4.652628099,12,1,1.291276117,15,6,2.931221245,19,4,0.366327556,5,6,3.0540622,13,2,4.392294389,3,5,1.518315452,2,4,3.867537132,17,5,1.948290261,16,5,1.325482103,9,6,2.574575276,15,2,1.457777268,6,4,0.247898383,14,4,0.806786496,17,3,0.509267899,15,1,0.665387316,10,6,4.955298107
NNR,17,4,2.510011765,14,2,4.998887811,12,2,1.130091986,19,3,2.877309847,4,1,1.452830979,18,5,1.264197484,11,3,0.587275238,12,4,0.675530832,10,4,4.867848447,20,3,4.393446083,11,5,1.650231315,14,3,2.04351607,14,5,1.261068617,19,4,2.974215804,16,2,0.22055239,19,5,1.754949324,16,5,4.659871782,16,4,4.776388934,18,6,1.128883746,19,4,2.794255279,11,2,2.01455357,19,6,2.120939278,16,4,3.207289605,6,5,0.395218233,17,3,4.824861778,10,1,3.634457772,1,3,1.828993647,20,6,1.71072437,14,4,3.446358,14,3,3.154028853,16,3,1.309742395,14,3,3.959990062,19,6,0.379707212,9,6,1.869970119,18,3,0.191030528,17,2,2.448404108,11,4,0.362937199,11,5,2.223959235,20,5,0.409825149,19,2,4.901966293,14,4,3.431372893,20,5,1.903826999,8,4,0.492942054,15,5,3.303507831,19,5,0.364430658,13,6,1.909423137,16,2,1.439836661,10,1,2.601082964,14,3,2.298364543,17,3,0.921955451,18,6,1.363115195,19,4,2.715448114,17,3,2.523818101,12,4,4.045788098,19,6,4.468660508,9,6,3.991374928,20,4,0.17779324,3,5,1.660915158,12,4,3.136684092,14,5,3.041642282,9,3,4.152715962,15,2,1.593819935,20,6,2.983111676,3,6,0.119551776,18,4,1.231352068,18,6,4.592273213,10,2,2.127482376,11,3,0.891831533,9,5,0.864482356,8,2,1.262113768,4,1,0.404182053,2,3,1.27339764,11,6,0.306351026,16,5,2.671059313,1,6,2.35538581,7,3,4.722128612,6,6,3.796431531,13,5,2.978461086,19,4,3.855616908,15,2,0.202849308,14,6,0.938475562,1,4,3.656784929,17,2,2.461866612,15,3,0.8694298,10,5,0.567665262,9,6,3.936062531,18,5,3.977626392,12,0,2.125355229,6,5,2.986911464,16,6,2.303477767
GBR,5,2,1.472231769,5,4,0.676474075,8,0,1.100038301,18,6,4.546751085,12,3,3.933360489,6,3,0.930183266,2,4,0.848536744,3,5,3.980628693,6,6,4.445882102,20,6,0.198064481,5,5,2.602724324,7,4,0.925722472,10,1,3.119060283,8,4,1.810361329,4,3,0.496000998,2,0,3.019000771,12,2,1.205635072,11,3,1.83335554,8,2,4.358331065,19,6,1.266970265,18,3,1.119305339,7,1,1.248500497,8,1,2.481610263,3,2,1.150961383,14,6,2.363692512,7,3,2.51995654,19,4,4.660870641,10,6,1.571064246,1,5,0.69191235,15,0,2.450532178,13,4,4.299015293,12,3,3.985801596,10,5,4.13473688,17,3,0.620747889,6,6,1.140477816,15,2,0.899278545,8,1,1.183872057,2,4,0.584200602,6,4,2.755886296,5,6,2.299022144,10,4,2.82088533,10,3,0.267602544,14,4,3.114993107,9,3,4.465560923,16,4,0.550941702,13,3,2.137037887,6,6,1.742337962,4,5,3.383429594,1,4,0.77970541,20,2,0.668811393,16,6,2.94291876,18,5,0.811762576,13,2,4.369781647,16,4,2.03620319,3,4,2.933771995,20,2,2.566694487,12,3,3.231808335,3,2,0.112051987,9,3,4.658587603,6,2,3.376063237,8,2,1.905562199,11,4,1.190337213,14,2,1.115855154,5,6,3.087036343,14,6,2.038759033,9,1,0.407702571,12,0,1.447617067,9,2,3.675014233,19,6,1.928130981,7,6,2.519587751,20,0,0.546160024,2,4,4.46225197,11,2,4.1270786,7,5,3.002597431,7,6,1.579359304,13,6,1.996898149,16,6,0.161285564,16,0,2.054969301,17,4,4.360036309,4,3,4.38608189,13,1,2.898018524,10,6,1.565945792,10,6,0.66854318,6,5,4.899394921,19,3,4.591717514,3,6,3.703285273,11,5,2.787644593,6,2,2.322821433,15,6,2.42092847,2,5,2.649101864
RF,14,5,0.456582834,6,3,0.567689629,6,5,0.40277697,15,3,0.752989291,20,4,1.306735214,16,4,4.031261764,16,5,2.007825333,6,5,0.540157047,10,0,0.463456548,13,5,2.540889378,16,2,4.881067238,1,3,4.273542367,18,3,4.106637072,12,5,3.156233672,8,3,2.865950824,12,5,4.639336393,10,3,4.665392338,20,5,1.663417948,17,3,4.606015331,3,6,3.507684737,17,5,4.955275261,13,6,0.455572439,15,4,4.036105255,12,6,0.258910969,9,1,1.803701521,11,6,3.484006466,10,4,2.286134934,11,5,2.682110526,15,3,2.882921114,6,0,1.896552317,11,6,1.428057548,9,3,3.934942241,14,4,2.316366154,9,6,1.001191746,6,1,0.638575548,8,5,4.910091497,13,3,0.150111251,9,0,3.177924757,16,4,4.352384625,13,1,3.893186037,9,0,3.495824495,20,3,3.71189389,15,3,4.536250096,6,5,0.42383016,8,2,2.620083097,19,4,0.554516883,15,2,1.9834607,7,3,4.675376215,11,5,3.90936915,6,5,0.691915796,7,2,4.343452727,20,5,4.936329851,8,4,0.863556324,11,1,3.22761793,14,4,4.317486135,11,5,4.744951808,14,5,1.661901507,18,2,3.881821764,11,0,4.556927306,12,6,1.960471816,20,5,2.191435929,14,4,2.883991208,8,6,2.227865595,6,0,3.182413464,19,2,0.897396578,10,4,0.377620412,13,3,1.00162705,19,6,2.644130623,11,2,3.193450342,8,4,2.554999772,9,4,4.236234051,14,5,4.335298452,13,3,2.172302147,19,5,3.40207257,13,4,1.01089093,3,5,2.645693951,15,4,1.360359691,10,1,0.597766302,7,4,0.172354894,3,3,2.199675699,11,4,4.515453335,12,0,2.848678657,5,3,0.773227848,15,3,1.620032614,12,6,1.248339446,3,5,2.59622944,5,4,2.780561948,17,5,3.38528551,19,1,2.756290092,7,6,3.225706069
AdaBoostR2_LR,16,4,0.865895654,2,5,2.929505285,20,3,2.943622859,16,5,4.317439919,15,4,2.667032025,18,5,0.285873853,16,5,4.971560042,14,6,3.18025401,11,6,4.300751958,10,3,2.515110389,10,6,3.003457751,17,0,4.475634003,9,5,3.243736272,12,5,1.680686911,9,4,0.426407024,17,4,3.618053552,7,4,4.325401213,10,4,2.48404206,17,1,3.946605949,2,4,1.939585319,3,5,4.270894161,19,5,1.328190667,16,4,3.628864706,7,3,3.040828452,17,6,1.121794663,18,6,1.11007591,20,2,3.22466223,1,3,4.223952745,3,6,4.67721995,14,4,2.928118358,15,6,0.531741191,10,4,3.883701468,18,3,1.957277055,12,4,2.739101739,12,0,0.86656939,6,3,1.605357426,20,3,2.071033715,13,4,1.019156549,10,4,0.295176897,13,4,2.147455174,10,0,3.635537846,19,2,1.591872347,1,2,1.349051208,8,3,1.155372745,7,2,4.723664266,14,3,0.689514377,12,6,4.353762839,12,3,2.892998291,16,2,4.041635558,9,0,3.0064043,19,2,1.402467085,7,2,0.290132128,20,4,1.7639217,5,4,3.968158557,18,6,0.998618084,13,0,1.956103927,17,1,4.803465638,9,6,3.777666361,12,6,3.255796119,14,4,0.569895914,20,4,1.781730524,12,1,1.328284944,8,6,3.083442965,8,3,4.221215835,1,5,2.965417647,16,5,1.759684965,20,5,4.169776504,13,4,2.478206592,8,5,2.637641782,20,3,2.397201654,10,2,1.891659539,1,0,4.682293389,7,6,3.759755888,13,3,2.769011946,11,6,2.902214156,11,3,0.847754825,6,5,3.570117182,7,1,3.958964102,17,5,1.431949118,18,5,1.210580401,4,4,1.336042013,1,3,3.514190076,20,4,3.316199636,11,3,4.403527514,7,5,4.675503087,1,3,0.970661009,14,4,1.985488161,15,3,2.129603483,2,3,0.159678222,15,3,4.792221907
AdaBoostR2_DTR,7,5,0.836599179,18,6,1.739589737,18,4,4.65786919,17,4,4.181233804,4,4,1.146491932,13,5,0.254579199,6,4,0.563831743,16,5,1.53950791,2,2,4.755485272,17,5,3.961273912,15,6,4.573410473,11,5,0.272340893,12,4,3.003118636,18,5,1.492862305,16,6,2.535885655,6,4,3.022872248,17,6,4.000363296,19,5,1.09671442,16,4,0.38215915,11,6,3.647597809,19,6,4.322143609,9,6,0.984962093,18,6,1.958630872,16,3,4.881393943,17,5,0.881244841,13,6,0.554711009,19,5,2.185830628,11,6,0.306696501,17,4,0.950619325,11,6,4.106748578,3,4,4.626368192,16,2,2.019965425,2,0,4.886412125,3,5,3.636152876,2,5,3.575336167,1,3,2.917844052,9,4,4.868195107,18,5,3.861577314,11,3,3.116502723,20,3,3.399021247,2,5,0.920668506,1,4,2.502615818,14,5,2.813753337,19,6,4.488909819,15,3,4.367088402,7,6,3.105600608,19,3,1.338274499,18,5,3.867845776,5,6,2.389454867,1,4,2.391017546,14,4,2.865003972,12,5,1.678540672,13,5,2.571936005,4,2,0.512518267,17,5,0.298126954,18,4,4.878800634,19,6,1.854778411,20,4,1.169967789,13,3,2.067340355,16,6,2.789563649,18,5,1.314110861,5,5,2.444120699,11,5,2.324228581,20,6,2.384298921,10,4,3.612131732,10,1,1.46192596,14,6,4.582112251,9,2,3.20292353,13,6,2.197285833,11,6,3.078215294,14,4,3.187643935,20,6,1.846356836,14,6,1.86493563,5,6,3.913112972,3,5,1.539687691,13,6,1.996024132,15,3,1.583351453,4,3,2.125414861,19,3,1.051324872,12,5,0.276366657,10,6,2.003056143,20,6,3.62417775,19,5,3.515794101,6,5,3.789744078,13,5,4.767739874,18,6,1.663921612,11,6,2.232053421,14,5,3.463551329,9,5,2.494483368,20,6,4.17532661
AdaBoostR2_BRR,13,2,2.660774255,15,4,3.799803531,9,6,4.385409705,19,1,4.766252074,6,4,3.618429675,8,5,2.222034299,11,6,0.392600865,5,4,2.393881529,13,1,0.177625935,13,4,1.314229924,16,1,3.202848426,14,3,2.011962341,2,1,4.850039102,13,5,3.945665957,11,6,2.134031398,10,3,2.940733656,3,0,1.505465455,17,5,2.659544744,18,3,4.162728318,10,2,1.411355875,13,5,4.587062462,15,3,4.387678052,14,4,1.993787532,11,1,2.963752281,4,2,4.223907167,20,5,1.345481628,3,1,1.178745671,16,5,2.427606577,4,1,1.729124326,3,2,1.916686829,4,1,0.905497819,14,1,1.093498083,18,6,2.116447084,18,6,4.213787789,11,4,3.818138368,12,1,2.760356937,3,3,1.71950967,18,3,3.307036868,11,4,3.026370701,6,2,3.929084945,7,6,2.242653815,6,6,0.631211789,16,2,0.669705733,19,6,1.708145476,13,4,0.892352961,6,5,1.774287392,9,6,2.442055889,15,0,0.289771524,16,5,4.123638668,4,0,0.320464101,16,6,4.800599157,12,1,3.272257895,20,4,3.74428295,2,4,4.144972743,19,4,4.587705097,16,0,0.114369108,13,4,1.782371868,18,3,4.097697763,19,3,2.022987084,4,4,4.736310224,12,4,4.695782397,3,6,4.920802789,5,4,0.220226451,2,0,3.712786358,9,3,4.278582051,13,0,2.336787946,12,0,0.957508041,14,0,2.770623896,20,5,3.641611145,6,5,4.180677744,7,6,1.452233606,20,6,4.588387479,14,3,4.374958007,20,6,1.783038109,17,3,1.478303013,14,1,3.509509061,17,2,3.504651272,2,5,1.625704474,6,6,1.890538587,12,6,0.367380563,13,5,4.611825153,14,2,0.200028336,12,5,2.375988183,3,6,1.024404782,11,4,0.564260255,17,1,4.930323119,11,6,0.159905756,12,4,4.792779177,8,4,2.818567659,4,4,4.990215511
CBS_D,13,5,2.834665563,13,2,0.197074111,18,5,2.056837001,11,6,2.968759844,5,6,1.897061992,16,5,4.052167151,15,6,3.957481965,18,5,0.690928716,15,6,0.568708576,10,6,1.542211773,20,6,2.042153528,8,6,0.989574817,16,6,3.715959706,11,6,1.874815279,15,5,2.133611549,10,6,2.672865189,6,5,0.581306478,19,4,3.21174752,19,6,4.515236076,19,6,4.793017107,10,5,2.740023263,14,6,3.317877036,19,6,2.778802289,8,6,2.475279019,2,6,2.641930866,18,4,2.037587376,16,5,0.529958605,18,6,2.086357235,4,6,4.718985047,6,6,4.007094426,2,6,3.456348377,18,4,1.327909936,7,6,3.657925223,7,4,0.90801867,18,6,1.563833868,12,6,2.240329532,11,6,0.39007948,1,4,2.327345194,1,6,3.151752435,5,6,0.292972549,15,4,1.752586766,7,4,2.412909452,16,5,0.986008126,10,5,1.323474672,7,5,3.875682111,1,6,4.517683296,7,6,3.188649646,19,2,3.496268389,14,6,4.589794331,3,4,2.172671314,17,5,0.932217628,16,6,4.147612783,14,5,1.179813649,13,3,2.770030244,16,6,3.604626004,17,5,2.39571939,16,6,0.755707813,11,4,1.081347075,2,6,1.84508114,17,3,1.814467299,19,6,1.478928857,8,4,2.193461456,3,6,3.58259978,15,4,2.259630619,2,6,0.266813363,20,4,4.016465489,7,6,4.771176606,14,4,0.660050803,5,4,3.486331741,9,6,3.601680643,15,6,1.959440928,9,6,3.522044292,12,5,4.067908542,14,5,3.712604239,13,6,3.092457067,4,6,3.301653684,14,6,1.365081119,10,6,2.974297357,4,5,3.259332225,5,6,1.957374206,19,5,2.162370831,12,6,4.589801439,16,5,4.244725381,12,5,2.347429078,13,6,0.211096284,13,6,0.488877938,19,6,4.86564431,10,6,3.22471243,18,6,2.593746668,15,6,2.536451826
CBS_A,17,3,0.284877462,13,4,1.643977928,14,3,4.591436918,20,5,2.640700807,10,3,0.20314452,7,2,1.715310066,17,3,0.61579759,3,4,2.400612974,15,4,1.679667162,8,5,3.723314561,4,2,4.252687336,20,4,4.800351936,3,3,3.222705666,12,4,3.304595749,9,3,3.807099196,18,2,1.302734574,5,2,0.873313528,15,2,2.854554042,7,2,2.821599903,5,5,3.807185206,16,4,1.609850171,17,4,1.602561775,9,5,3.866767172,1,3,4.66576833,8,6,1.704219934,4,3,0.928126735,10,6,3.704544262,7,4,3.650183186,7,3,2.270484564,6,2,1.922500175,5,4,4.242992631,17,5,2.186364592,11,5,1.979264369,18,4,2.595309368,12,3,2.000131288,15,5,4.977433233,8,4,3.042146186,3,3,0.548579688,8,5,2.953624935,1,4,3.137821825,6,5,3.130292647,11,1,2.800230137,6,4,0.959358804,5,3,0.946755571,17,4,3.741925594,19,5,2.480944952,3,3,3.216775248,7,2,1.374996136,20,4,0.826108211,19,3,1.025775263,7,4,0.767039937,7,4,4.783992608,11,2,4.085683163,16,4,4.073896958,19,5,4.204823607,20,4,2.068719174,5,4,1.520706556,13,6,1.737421047,9,2,1.10836282,8,3,3.863390218,9,3,0.776528052,5,4,1.990565353,18,4,3.590435892,18,4,1.261938234,7,5,0.595753723,7,2,4.225761604,15,3,3.709751877,12,1,3.935171204,3,3,2.551594344,17,6,3.608618807,20,3,3.847524467,18,4,3.622038231,6,2,2.009664228,4,4,1.840984352,14,3,2.856999566,3,6,4.648384027,17,6,3.155931926,19,4,2.975370663,17,4,2.972527274,18,5,3.553334826,19,4,2.938673939,10,2,4.059568773,7,5,2.233592971,19,4,2.82951396,14,6,3.169886137,6,3,2.394053263,20,5,0.988460376,8,6,2.696541788,6,3,3.549971331,7,2,2.148645303
