,LocRfc_A,LocRfc_D,amc_A,amc_D,avg_cc_A,avg_cc_D,ca_A,ca_D,cam_A,cam_D,cbm_A,cbm_D,cbo_A,cbo_D,ce_A,ce_D,dam_A,dam_D,dit_A,dit_D,ic_A,ic_D,lcom3_A,lcom3_D,lcom_A,lcom_D,loc_A,loc_D,max_cc_A,max_cc_D,mfa_A,mfa_D,moa_A,moa_D,noc_A,noc_D,npm_A,npm_D,rfc_A,rfc_D,wmc_A,wmc_D
ant-1.7,-0.24521541459190302,0.24521541459190302,-0.16953886122537346,0.16953886122537346,-0.14802266002742295,0.14802266002742295,-0.05558923287868947,0.05558923287868947,0.1944684996752544,-0.1944684996752544,-0.057570181135888,0.057570181135888,-0.17313632099299991,0.17313632099299991,-0.18070289384426644,0.18070289384426644,-0.06449808760915061,0.06449808760915061,-0.02341776719347622,0.02341776719347622,-0.05631088980298766,0.05631088980298766,0.006040268456375839,-0.006040268456375839,-0.20120516706357797,0.20120516706357797,-0.24480407014505304,0.24480407014505304,-0.18259363498592768,0.18259363498592768,0.034830771451252074,-0.034830771451252074,-0.14021433210651657,0.14021433210651657,-0.031420942483943136,0.031420942483943136,-0.18063072815183662,0.18063072815183662,-0.24511438262250126,0.24511438262250126,-0.212957350075774,0.212957350075774
ant-1.6,-0.28774928774928776,0.28774928774928776,-0.18982498982498983,0.18982498982498983,-0.14401302401302402,0.14401302401302402,-0.06188034188034188,0.06188034188034188,0.24266992266992268,-0.24266992266992268,-0.05388685388685389,0.05388685388685389,-0.1984208384208384,0.1984208384208384,-0.22256410256410256,0.22256410256410256,-0.06577126577126577,0.06577126577126577,0.004574684574684575,-0.004574684574684575,-0.05803825803825804,0.05803825803825804,-0.020366300366300365,0.020366300366300365,-0.23142043142043142,0.23142043142043142,-0.2881725681725682,0.2881725681725682,-0.17997557997557997,0.17997557997557997,0.07145299145299146,-0.07145299145299146,-0.13533577533577534,0.13533577533577534,-0.02083842083842084,0.02083842083842084,-0.22293854293854293,0.22293854293854293,-0.2917867317867318,0.2917867317867318,-0.24621896621896622,0.24621896621896622
ant-1.5,-0.11470849502080509,0.11470849502080509,-0.07641778484267614,0.07641778484267614,-0.036654355042311466,0.036654355042311466,0.017625882462948245,-0.017625882462948245,0.09670858852681284,-0.09670858852681284,-0.041142643414839405,0.041142643414839405,-0.08548786759549301,0.08548786759549301,-0.11124877273364814,0.11124877273364814,-0.0377998036373837,0.0377998036373837,-0.04532703726214409,0.04532703726214409,-0.050189349665716025,0.050189349665716025,-0.007129833091776147,0.007129833091776147,-0.09556313993174062,0.09556313993174062,-0.11379681144513536,0.11379681144513536,-0.050516620692879516,0.050516620692879516,-0.009514236289681613,0.009514236289681613,-0.05890878488942915,0.05890878488942915,-0.015405114778624527,0.015405114778624527,-0.09771377811024358,0.09771377811024358,-0.12931880873346113,0.12931880873346113,-0.1102903361540979,0.1102903361540979
camel-1.6,-0.08827639584632253,0.08827639584632253,-0.06689957646249435,0.06689957646249435,-0.07434695676477544,0.07434695676477544,-0.10055898350998646,0.10055898350998646,0.07223141917313439,-0.07223141917313439,0.01378969320405048,-0.01378969320405048,-0.10272826951604927,0.10272826951604927,-0.057994539161094746,0.057994539161094746,-0.035003117408036466,0.035003117408036466,-0.015965429019843914,0.015965429019843914,0.010990475780964461,-0.010990475780964461,0.03443983402489627,-0.03443983402489627,-0.049743082579063916,0.049743082579063916,-0.0856491733493862,0.0856491733493862,-0.08771311246318234,0.08771311246318234,0.01468406682002881,-0.01468406682002881,-0.04964203555995098,0.04964203555995098,-0.03580504375120934,0.03580504375120934,-0.08101606002622923,0.08101606002622923,-0.09489175069335455,0.09489175069335455,-0.08627910476640939,0.08627910476640939
camel-1.4,-0.11048410031704568,0.11048410031704568,-0.05524336679341472,0.05524336679341472,-0.052807592243440525,0.052807592243440525,-0.07499289017158386,0.07499289017158386,0.09966926131516025,-0.09966926131516025,-0.04165306143945059,0.04165306143945059,-0.09159828942794847,0.09159828942794847,-0.07895859446592023,0.07895859446592023,-0.030527496603081978,0.030527496603081978,-0.0325498477970065,0.0325498477970065,-0.038595835220510015,0.038595835220510015,0.009635134138762784,-0.009635134138762784,-0.10336637209155353,0.10336637209155353,-0.10718987981756707,0.10718987981756707,-0.07489545918958489,0.07489545918958489,-0.01772717218424462,0.01772717218424462,-0.04073141701513604,0.04073141701513604,-0.022970012323702587,0.022970012323702587,-0.1268024731669809,0.1268024731669809,-0.1213226387469849,0.1213226387469849,-0.12442989709181686,0.12442989709181686
camel-1.2,-0.09697173328708922,0.09697173328708922,-0.052431067371889364,0.052431067371889364,-0.0981964796670424,0.0981964796670424,-0.09529177143848089,0.09529177143848089,0.08197671898031735,-0.08197671898031735,-0.03524668343015694,0.03524668343015694,-0.10214168039538715,0.10214168039538715,-0.08245903060782103,0.08245903060782103,0.003170250585277031,-0.003170250585277031,0.006053281886759733,-0.006053281886759733,-0.023362308159195353,0.023362308159195353,-0.014653602705280499,0.014653602705280499,-0.11578188675973294,0.11578188675973294,-0.09324872106130234,0.09324872106130234,-0.10363738836382555,0.10363738836382555,-0.0061020549726870715,0.0061020549726870715,-0.06329120783837683,0.06329120783837683,-0.029328882337639816,0.029328882337639816,-0.1347546171854678,0.1347546171854678,-0.11027594728171335,0.11027594728171335,-0.11000498569322813,0.11000498569322813
ivy-2.0,-0.1331099456099456,0.1331099456099456,-0.09782116032116032,0.09782116032116032,-0.09531209531209531,0.09531209531209531,-0.024184149184149184,0.024184149184149184,0.10983229733229734,-0.10983229733229734,-0.0146011396011396,0.0146011396011396,-0.1117100492100492,0.1117100492100492,-0.07158119658119658,0.07158119658119658,-0.0421037296037296,0.0421037296037296,0.008903133903133903,-0.008903133903133903,-0.011622636622636623,0.011622636622636623,-0.004095441595441595,0.004095441595441595,-0.10892579642579643,0.10892579642579643,-0.13275382025382026,0.13275382025382026,-0.1002978502978503,0.1002978502978503,0.019716394716394716,-0.019716394716394716,-0.05638111888111888,0.05638111888111888,0.007527195027195027,-0.007527195027195027,-0.09856578606578606,0.09856578606578606,-0.13383838383838384,0.13383838383838384,-0.1272176897176897,0.1272176897176897
jedit-4.2,-0.15815726388826848,0.15815726388826848,-0.06794121588421852,0.06794121588421852,-0.10759220380875806,0.10759220380875806,-0.13650779470228258,0.13650779470228258,0.14922350769047513,-0.14922350769047513,-0.02742663152722562,0.02742663152722562,-0.1387710129390569,0.1387710129390569,-0.13479549143103886,0.13479549143103886,-0.04609818198061375,0.04609818198061375,-2.9779187325977874e-05,2.9779187325977874e-05,-0.02421047929602001,0.02421047929602001,-0.008189276514643915,0.008189276514643915,-0.14786855466714313,0.14786855466714313,-0.1559982728071351,0.1559982728071351,-0.13061151561173895,0.13061151561173895,0.019088459075951816,-0.019088459075951816,-0.11741933562633075,0.11741933562633075,-0.005479370467979929,0.005479370467979929,-0.1286609788418874,0.1286609788418874,-0.16147764327511502,0.16147764327511502,-0.1497893122496687,0.1497893122496687
jedit-4.1,-0.2518962816390469,0.2518962816390469,-0.11740456756533926,0.11740456756533926,-0.19150383378679198,0.19150383378679198,-0.14722977986643582,0.14722977986643582,0.21914419985159536,-0.21914419985159536,-0.03895622062824635,0.03895622062824635,-0.1719844999587765,0.1719844999587765,-0.1965537142386017,0.1965537142386017,-0.07411987797839888,0.07411987797839888,0.00906917305631132,-0.00906917305631132,-0.03567895127380658,0.03567895127380658,0.002741363673839558,-0.002741363673839558,-0.21662956550416357,0.21662956550416357,-0.24888696512490724,0.24888696512490724,-0.22926457251216092,0.22926457251216092,0.04854068760821172,-0.04854068760821172,-0.16083353945090278,0.16083353945090278,0.002494022590485613,-0.002494022590485613,-0.17672520405639378,0.17672520405639378,-0.26914832220298457,0.26914832220298457,-0.2472380245692143,0.2472380245692143
jedit-4.0,-0.22044358727097396,0.22044358727097396,-0.10363227258116361,0.10363227258116361,-0.15238401371477553,0.15238401371477553,-0.1481838637094182,0.1481838637094182,0.17846351655416265,-0.17846351655416265,-0.03507982427943855,0.03507982427943855,-0.17636344155148398,0.17636344155148398,-0.17308475302689383,0.17308475302689383,-0.14349083895853423,0.14349083895853423,0.0024215150541090752,-0.0024215150541090752,-0.024750883960141433,0.024750883960141433,0.060923604414443375,-0.060923604414443375,-0.174006214507661,0.174006214507661,-0.21815064823743704,0.21815064823743704,-0.1933140469302475,0.1933140469302475,0.025158041358619952,-0.025158041358619952,-0.1828351012536162,0.1828351012536162,0.009814636237008465,-0.009814636237008465,-0.16909889638915676,0.16909889638915676,-0.2289724633022608,0.2289724633022608,-0.20792885460195007,0.20792885460195007
synapse-1.1,-0.16505645917410625,0.16505645917410625,-0.08483143777261425,0.08483143777261425,-0.08707349883820473,0.08707349883820473,-0.008764420529126411,0.008764420529126411,0.16949981655864008,-0.16949981655864008,0.007745301862948922,-0.007745301862948922,-0.20194855488973135,0.20194855488973135,-0.21091679915209327,0.21091679915209327,-0.10692593045534222,0.10692593045534222,0.0985283926460397,-0.0985283926460397,0.008071419836125719,-0.008071419836125719,0.06681341975459623,-0.06681341975459623,-0.12025600260894379,0.12025600260894379,-0.16228445640210346,0.16228445640210346,-0.12975418857771798,0.12975418857771798,0.10688516570869512,-0.10688516570869512,-0.08417920182626065,0.08417920182626065,0.023154376095552567,-0.023154376095552567,-0.026089437854143735,0.026089437854143735,-0.17190493661081896,0.17190493661081896,-0.11145081733317028,0.11145081733317028
synapse-1.2,-0.2509497549019608,0.2509497549019608,-0.15713848039215686,0.15713848039215686,-0.12794117647058822,0.12794117647058822,-0.13556985294117646,0.13556985294117646,0.18247549019607842,-0.18247549019607842,-0.04215686274509804,0.04215686274509804,-0.18308823529411763,0.18308823529411763,-0.15971200980392156,0.15971200980392156,-0.09938725490196078,0.09938725490196078,-0.015165441176470588,0.015165441176470588,-0.03805147058823529,0.03805147058823529,0.08373161764705882,-0.08373161764705882,-0.1189031862745098,0.1189031862745098,-0.24975490196078431,0.24975490196078431,-0.17919730392156863,0.17919730392156863,-0.006709558823529411,0.006709558823529411,-0.11865808823529411,0.11865808823529411,-0.00818014705882353,0.00818014705882353,-0.11948529411764706,0.11948529411764706,-0.24886642156862746,0.24886642156862746,-0.18560049019607844,0.18560049019607844
xalan-2.5,-0.18354487380552356,0.18354487380552356,-0.14985574668558987,0.14985574668558987,-0.08611721008810477,0.08611721008810477,-0.06152427151299832,0.06152427151299832,0.06641863585121878,-0.06641863585121878,-0.06446834346263855,0.06446834346263855,-0.08138433492855657,0.08138433492855657,-0.08526007521669053,0.08526007521669053,-0.03171088468119862,0.03171088468119862,-0.04094371791567159,0.04094371791567159,-0.04696850650459778,0.04696850650459778,0.02254947935267684,-0.02254947935267684,-0.1397254062850346,0.1397254062850346,-0.18445169765499078,0.18445169765499078,-0.12294605950876233,0.12294605950876233,-0.005419204168905258,0.005419204168905258,-0.07253969683512265,0.07253969683512265,-0.022863141026636398,0.022863141026636398,-0.11029710903314566,0.11029710903314566,-0.15811343372577275,0.15811343372577275,-0.11798647838684732,0.11798647838684732
xalan-2.6,-0.3146483626044942,0.3146483626044942,-0.2451875143799371,0.2451875143799371,-0.08350077971214562,0.08350077971214562,-0.029189355011887415,0.029189355011887415,0.17771557123501291,-0.17771557123501291,-0.004379170181762405,0.004379170181762405,-0.05847074162128998,0.05847074162128998,-0.0571771863895493,0.0571771863895493,-0.04446404376613748,0.04446404376613748,-0.03820333870184319,0.03820333870184319,0.0018329626505100085,-0.0018329626505100085,0.10650612265766803,-0.10650612265766803,-0.13400311884858246,0.13400311884858246,-0.3142214382493545,0.3142214382493545,-0.15581460745967227,0.15581460745967227,-0.008855484827568576,0.008855484827568576,-0.10709410230845924,0.10709410230845924,-0.049876012986680984,0.049876012986680984,-0.19038525449293145,0.19038525449293145,-0.17571644042232276,0.17571644042232276,-0.16965769358590893,0.16965769358590893
xerces-1.3,-0.13023305788352965,0.13023305788352965,-0.1458223446443572,0.1458223446443572,-0.06433999492078377,0.06433999492078377,-0.09784328664361484,0.09784328664361484,0.07361933227841919,-0.07361933227841919,-0.06476977475629529,0.06476977475629529,-0.11096133935025103,0.11096133935025103,-0.11732989509464924,0.11732989509464924,-0.1192541366309168,0.1192541366309168,-0.011867784094238996,0.011867784094238996,-0.06838383246400594,0.06838383246400594,0.128582312606224,-0.128582312606224,0.01095938580554416,-0.01095938580554416,-0.13201078356678192,0.13201078356678192,-0.10594072945359355,0.10594072945359355,-0.02841430776143312,0.02841430776143312,-0.05931938502412628,0.05931938502412628,-0.04625017093516185,0.04625017093516185,0.016077672937545175,-0.016077672937545175,-0.10669284416573874,0.10669284416573874,-0.03821133446638926,0.03821133446638926
